projectid,projectstateid,clientid,providerid,disciplineid,tierid,projectname,projectgoals,projectdescription,uploadlocation,attributesknowledge,startbydatetime,deadlinedatetime,minyears,maxyears,interactionfrequency,filterbyindustry,budgetcurrency,budget,hours,effectivehourlyrate,advertisementdatetime,createddate,updateddate,deleteddate,qualityofwork,timeliness,responsiveness,professionalism,likeability,knowledge,attentiontodetail
656,2,11,36,3,1,,,,,,,2014-Mar-14 00:00:00 +0000,,,,,,,,,,,,,7,9,4,5,5,4,6
657,2,13,36,3,1,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,8,8,9,7,7,4,8
658,2,11,36,3,1,,,,,,,2014-Feb-27 00:00:00 +0000,,,,,,,,,,,,,5,4,6,8,9,5,4
659,2,7,36,3,1,,,,,,,2014-Jul-14 00:00:00 +0000,,,,,,,,,,,,,6,8,8,6,6,8,6
660,2,2,36,3,1,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,5,9,8,4,6,7,6
661,2,4,36,3,1,,,,,,,2014-May-23 00:00:00 +0000,,,,,,,,,,,,,5,4,8,6,9,7,8
662,2,16,37,3,1,,,,,,,2014-Jul-01 00:00:00 +0000,,,,,,,,,,,,,8,5,8,6,7,6,4
663,2,16,37,3,1,,,,,,,2014-Jan-08 00:00:00 +0000,,,,,,,,,,,,,9,4,6,6,9,8,6
664,2,5,37,3,1,,,,,,,2014-Jan-17 00:00:00 +0000,,,,,,,,,,,,,6,7,5,8,8,4,7
665,2,13,37,3,1,,,,,,,2014-Aug-08 00:00:00 +0000,,,,,,,,,,,,,7,4,5,6,8,7,6
666,2,9,37,3,1,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,7,5,5,9,7,7,4
667,2,4,37,3,1,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,4,6,4,9,9,8,8
668,2,3,37,3,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,6,6,4,7,7,8,8
669,2,7,37,3,1,,,,,,,2014-May-28 00:00:00 +0000,,,,,,,,,,,,,8,7,6,8,8,7,4
670,2,8,37,3,1,,,,,,,2014-May-09 00:00:00 +0000,,,,,,,,,,,,,5,5,7,4,4,5,7
671,2,10,37,3,1,,,,,,,2014-Feb-22 00:00:00 +0000,,,,,,,,,,,,,5,4,7,6,6,8,8
672,2,6,37,3,1,,,,,,,2014-Feb-06 00:00:00 +0000,,,,,,,,,,,,,4,4,4,6,8,5,5
673,2,11,37,3,1,,,,,,,2014-Apr-13 00:00:00 +0000,,,,,,,,,,,,,7,4,5,6,5,4,7
674,2,12,37,3,1,,,,,,,2014-Jan-06 00:00:00 +0000,,,,,,,,,,,,,7,5,9,8,6,5,5
675,2,14,37,3,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,4,8,4,4,5,8,5
676,2,3,37,3,1,,,,,,,2014-Mar-03 00:00:00 +0000,,,,,,,,,,,,,8,7,4,9,5,8,6
677,2,16,37,3,1,,,,,,,2014-Apr-21 00:00:00 +0000,,,,,,,,,,,,,6,6,7,5,6,4,6
678,2,14,37,3,1,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,7,7,9,7,4,8,6
679,2,12,37,3,1,,,,,,,2014-Jun-04 00:00:00 +0000,,,,,,,,,,,,,9,5,5,6,4,8,6
680,2,7,37,3,1,,,,,,,2014-Feb-01 00:00:00 +0000,,,,,,,,,,,,,4,9,5,4,8,8,4
681,2,13,37,3,1,,,,,,,2014-Jul-02 00:00:00 +0000,,,,,,,,,,,,,9,4,4,4,6,9,4
682,2,18,38,3,1,,,,,,,2014-Apr-21 00:00:00 +0000,,,,,,,,,,,,,4,5,4,5,5,4,8
683,2,9,38,3,1,,,,,,,2014-Jun-09 00:00:00 +0000,,,,,,,,,,,,,8,6,7,5,9,4,4
684,2,10,38,3,1,,,,,,,2014-Jul-10 00:00:00 +0000,,,,,,,,,,,,,9,6,5,7,6,5,4
685,2,19,38,3,1,,,,,,,2014-May-22 00:00:00 +0000,,,,,,,,,,,,,5,7,7,4,5,4,7
686,2,9,38,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,4,7,4,7,9,6,4
687,2,3,38,3,1,,,,,,,2014-May-31 00:00:00 +0000,,,,,,,,,,,,,6,4,5,7,4,6,5
688,2,14,38,3,1,,,,,,,2014-Feb-19 00:00:00 +0000,,,,,,,,,,,,,5,4,6,8,5,7,7
689,2,12,38,3,1,,,,,,,2014-Feb-05 00:00:00 +0000,,,,,,,,,,,,,7,5,7,9,4,5,6
690,2,10,38,3,1,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,6,5,4,4,8,6,7
691,2,18,38,3,1,,,,,,,2014-Aug-24 00:00:00 +0000,,,,,,,,,,,,,8,6,4,5,9,8,9
692,2,16,38,3,1,,,,,,,2014-Feb-13 00:00:00 +0000,,,,,,,,,,,,,5,5,4,8,9,6,7
693,2,18,38,3,1,,,,,,,2014-Mar-01 00:00:00 +0000,,,,,,,,,,,,,6,4,8,7,6,7,6
694,2,7,38,3,1,,,,,,,2014-Aug-12 00:00:00 +0000,,,,,,,,,,,,,6,7,9,7,7,6,5
695,2,14,38,3,1,,,,,,,2014-May-21 00:00:00 +0000,,,,,,,,,,,,,6,8,6,5,4,7,4
696,2,14,38,3,1,,,,,,,2014-Jun-10 00:00:00 +0000,,,,,,,,,,,,,6,9,4,8,9,9,5
697,2,12,38,3,1,,,,,,,2014-Aug-30 00:00:00 +0000,,,,,,,,,,,,,5,5,9,4,4,9,6
698,2,8,38,3,1,,,,,,,2014-Jul-30 00:00:00 +0000,,,,,,,,,,,,,9,6,7,7,8,6,7
699,2,2,38,3,1,,,,,,,2014-Jun-03 00:00:00 +0000,,,,,,,,,,,,,4,8,9,6,7,5,8
700,2,4,38,3,1,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,8,8,5,5,5,5,6
701,2,7,38,3,1,,,,,,,2014-May-26 00:00:00 +0000,,,,,,,,,,,,,5,6,6,8,8,7,6
702,2,20,39,3,1,,,,,,,2014-Apr-01 00:00:00 +0000,,,,,,,,,,,,,6,7,7,5,9,7,6
703,2,7,39,3,1,,,,,,,2014-Aug-04 00:00:00 +0000,,,,,,,,,,,,,5,4,8,6,9,6,4
704,2,15,39,3,1,,,,,,,2014-May-10 00:00:00 +0000,,,,,,,,,,,,,7,7,7,6,9,5,6
705,2,12,39,3,1,,,,,,,2014-Apr-04 00:00:00 +0000,,,,,,,,,,,,,5,7,6,9,4,9,8
706,2,8,39,3,1,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,4,4,4,6,5,5,7
707,2,17,39,3,1,,,,,,,2014-May-31 00:00:00 +0000,,,,,,,,,,,,,8,8,8,4,6,6,9
708,2,14,39,3,1,,,,,,,2014-May-25 00:00:00 +0000,,,,,,,,,,,,,7,9,9,7,4,5,4
709,2,20,39,3,1,,,,,,,2014-Jan-28 00:00:00 +0000,,,,,,,,,,,,,4,5,8,4,6,5,6
710,2,14,39,3,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,8,8,4,6,7,5,8
711,2,10,39,3,1,,,,,,,2014-Apr-21 00:00:00 +0000,,,,,,,,,,,,,5,5,6,6,6,6,4
712,2,14,39,3,1,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,9,8,7,7,8,6,8
713,2,7,39,3,1,,,,,,,2014-Jul-04 00:00:00 +0000,,,,,,,,,,,,,5,9,5,9,6,8,8
714,2,16,39,3,1,,,,,,,2014-Mar-10 00:00:00 +0000,,,,,,,,,,,,,4,8,5,5,4,4,4
715,2,17,39,3,1,,,,,,,2014-Jun-19 00:00:00 +0000,,,,,,,,,,,,,9,6,8,9,6,5,8
716,2,20,39,3,1,,,,,,,2014-Jun-18 00:00:00 +0000,,,,,,,,,,,,,4,9,7,7,8,4,4
717,2,12,39,3,1,,,,,,,2014-Mar-17 00:00:00 +0000,,,,,,,,,,,,,6,4,4,4,7,9,5
718,2,10,39,3,1,,,,,,,2014-Apr-25 00:00:00 +0000,,,,,,,,,,,,,5,4,6,5,8,4,9
719,2,16,39,3,1,,,,,,,2014-Jun-11 00:00:00 +0000,,,,,,,,,,,,,8,9,4,7,8,4,8
720,2,12,39,3,1,,,,,,,2014-Apr-03 00:00:00 +0000,,,,,,,,,,,,,7,4,5,8,9,6,8
721,2,19,39,3,1,,,,,,,2014-Jul-30 00:00:00 +0000,,,,,,,,,,,,,4,9,5,4,5,7,6
722,2,2,40,3,1,,,,,,,2014-May-21 00:00:00 +0000,,,,,,,,,,,,,4,4,4,5,4,6,8
723,2,3,40,3,1,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,7,7,6,4,5,4,4
724,2,20,40,3,1,,,,,,,2014-Aug-14 00:00:00 +0000,,,,,,,,,,,,,4,7,8,6,9,4,7
725,2,19,40,3,1,,,,,,,2014-Jan-05 00:00:00 +0000,,,,,,,,,,,,,6,6,5,6,5,7,7
726,2,6,40,3,1,,,,,,,2014-Jan-21 00:00:00 +0000,,,,,,,,,,,,,7,8,5,4,9,8,8
727,2,5,40,3,1,,,,,,,2014-Jul-18 00:00:00 +0000,,,,,,,,,,,,,6,8,4,7,4,7,7
728,2,10,40,3,1,,,,,,,2014-Jun-23 00:00:00 +0000,,,,,,,,,,,,,6,4,5,6,6,7,8
729,2,3,40,3,1,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,9,6,4,8,4,7,7
730,2,8,40,3,1,,,,,,,2014-May-02 00:00:00 +0000,,,,,,,,,,,,,4,8,6,7,9,6,9
731,2,12,40,3,1,,,,,,,2014-Jul-16 00:00:00 +0000,,,,,,,,,,,,,4,4,4,7,9,4,4
732,2,13,40,3,1,,,,,,,2014-Jan-05 00:00:00 +0000,,,,,,,,,,,,,4,7,5,8,5,9,6
733,2,13,40,3,1,,,,,,,2014-Jan-21 00:00:00 +0000,,,,,,,,,,,,,7,6,4,6,5,9,4
734,2,7,40,3,1,,,,,,,2014-May-16 00:00:00 +0000,,,,,,,,,,,,,8,4,4,7,4,9,8
735,2,9,40,3,1,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,6,4,5,7,8,7,7
736,2,3,40,3,1,,,,,,,2014-Apr-13 00:00:00 +0000,,,,,,,,,,,,,7,7,6,9,8,7,4
737,2,13,40,3,1,,,,,,,2014-Jul-31 00:00:00 +0000,,,,,,,,,,,,,6,7,8,7,5,6,4
738,2,8,40,3,1,,,,,,,2014-Jan-03 00:00:00 +0000,,,,,,,,,,,,,9,4,7,8,6,4,9
739,2,19,40,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,7,5,7,4,8,8,5
740,2,19,40,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,8,6,5,7,7,6,6
741,2,17,40,3,1,,,,,,,2014-May-21 00:00:00 +0000,,,,,,,,,,,,,5,8,9,6,5,4,7
742,2,11,41,3,1,,,,,,,2014-Jul-29 00:00:00 +0000,,,,,,,,,,,,,9,6,4,6,8,6,6
743,2,19,41,3,1,,,,,,,2014-Feb-01 00:00:00 +0000,,,,,,,,,,,,,7,7,6,6,7,5,5
744,2,8,41,3,1,,,,,,,2014-Aug-31 00:00:00 +0000,,,,,,,,,,,,,4,8,5,4,7,6,6
745,2,4,41,3,1,,,,,,,2014-Aug-22 00:00:00 +0000,,,,,,,,,,,,,4,5,5,4,5,6,8
746,2,11,41,3,1,,,,,,,2014-Apr-12 00:00:00 +0000,,,,,,,,,,,,,9,4,6,9,8,9,5
747,2,6,41,3,1,,,,,,,2014-Apr-07 00:00:00 +0000,,,,,,,,,,,,,5,8,5,4,7,5,4
748,2,19,41,3,1,,,,,,,2014-Jan-23 00:00:00 +0000,,,,,,,,,,,,,4,6,8,4,8,4,7
749,2,7,41,3,1,,,,,,,2014-Apr-09 00:00:00 +0000,,,,,,,,,,,,,8,8,7,9,5,4,6
750,2,11,41,3,1,,,,,,,2014-Aug-05 00:00:00 +0000,,,,,,,,,,,,,8,5,5,6,8,8,6
751,2,2,41,3,1,,,,,,,2014-Aug-28 00:00:00 +0000,,,,,,,,,,,,,7,7,9,7,5,5,4
752,2,11,41,3,1,,,,,,,2014-Jul-06 00:00:00 +0000,,,,,,,,,,,,,9,5,8,5,7,7,8
753,2,15,41,3,1,,,,,,,2014-Jan-06 00:00:00 +0000,,,,,,,,,,,,,5,5,8,4,8,8,4
754,2,10,41,3,1,,,,,,,2014-Feb-06 00:00:00 +0000,,,,,,,,,,,,,9,5,5,5,7,7,7
755,2,13,41,3,1,,,,,,,2014-Mar-29 00:00:00 +0000,,,,,,,,,,,,,4,6,5,7,7,7,4
756,2,2,41,3,1,,,,,,,2014-May-19 00:00:00 +0000,,,,,,,,,,,,,7,6,9,5,4,4,4
757,2,12,41,3,1,,,,,,,2014-Apr-11 00:00:00 +0000,,,,,,,,,,,,,4,6,4,6,5,9,5
758,2,2,41,3,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,5,8,7,6,7,6,7
759,2,7,41,3,1,,,,,,,2014-Apr-07 00:00:00 +0000,,,,,,,,,,,,,8,9,4,6,5,6,8
760,2,14,41,3,1,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,7,5,4,4,5,8,5
761,2,2,41,3,1,,,,,,,2014-Jun-05 00:00:00 +0000,,,,,,,,,,,,,7,7,4,4,5,4,4
762,2,13,42,3,1,,,,,,,2014-Feb-04 00:00:00 +0000,,,,,,,,,,,,,5,7,5,9,7,5,8
763,2,4,42,3,1,,,,,,,2014-Apr-30 00:00:00 +0000,,,,,,,,,,,,,4,7,8,4,5,7,6
764,2,19,42,3,1,,,,,,,2014-Mar-15 00:00:00 +0000,,,,,,,,,,,,,7,7,5,4,7,7,5
765,2,15,42,3,1,,,,,,,2014-Jul-01 00:00:00 +0000,,,,,,,,,,,,,6,5,5,8,9,4,9
766,2,2,42,3,1,,,,,,,2014-Aug-24 00:00:00 +0000,,,,,,,,,,,,,8,9,5,7,5,5,4
767,2,11,42,3,1,,,,,,,2014-May-27 00:00:00 +0000,,,,,,,,,,,,,5,6,5,4,7,6,6
768,2,13,42,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,4,6,7,4,4,9,8
769,2,2,42,3,1,,,,,,,2014-Jan-19 00:00:00 +0000,,,,,,,,,,,,,7,6,5,7,5,8,5
770,2,13,42,3,1,,,,,,,2014-Mar-23 00:00:00 +0000,,,,,,,,,,,,,8,9,7,5,5,8,4
771,2,3,42,3,1,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,5,4,7,9,9,8,5
772,2,20,42,3,1,,,,,,,2014-Jul-03 00:00:00 +0000,,,,,,,,,,,,,9,8,8,5,6,4,7
773,2,10,42,3,1,,,,,,,2014-May-24 00:00:00 +0000,,,,,,,,,,,,,6,5,6,8,8,7,6
774,2,16,42,3,1,,,,,,,2014-Apr-24 00:00:00 +0000,,,,,,,,,,,,,6,5,8,6,5,4,4
775,2,18,42,3,1,,,,,,,2014-Jul-01 00:00:00 +0000,,,,,,,,,,,,,4,8,8,5,5,6,8
776,2,15,42,3,1,,,,,,,2014-Jun-23 00:00:00 +0000,,,,,,,,,,,,,8,6,9,5,5,4,7
777,2,6,42,3,1,,,,,,,2014-Feb-23 00:00:00 +0000,,,,,,,,,,,,,6,8,9,5,9,4,4
778,2,16,42,3,1,,,,,,,2014-May-29 00:00:00 +0000,,,,,,,,,,,,,4,8,4,4,7,6,5
779,2,16,42,3,1,,,,,,,2014-Mar-11 00:00:00 +0000,,,,,,,,,,,,,4,8,9,8,4,7,5
780,2,13,42,3,1,,,,,,,2014-Jul-15 00:00:00 +0000,,,,,,,,,,,,,8,9,5,9,5,6,5
781,2,2,42,3,1,,,,,,,2014-Jul-16 00:00:00 +0000,,,,,,,,,,,,,8,6,7,6,6,7,9
782,2,13,43,3,1,,,,,,,2014-Jul-05 00:00:00 +0000,,,,,,,,,,,,,4,7,6,6,9,6,4
783,2,6,43,3,1,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,4,6,4,8,8,5,5
784,2,11,43,3,1,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,6,8,7,9,6,5,5
785,2,12,43,3,1,,,,,,,2014-Jan-17 00:00:00 +0000,,,,,,,,,,,,,4,7,7,9,8,4,5
786,2,2,43,3,1,,,,,,,2014-Jun-06 00:00:00 +0000,,,,,,,,,,,,,6,7,4,8,5,8,4
787,2,14,43,3,1,,,,,,,2014-Jan-21 00:00:00 +0000,,,,,,,,,,,,,5,6,6,6,9,5,5
788,2,4,43,3,1,,,,,,,2014-Mar-23 00:00:00 +0000,,,,,,,,,,,,,5,5,7,5,8,4,9
789,2,17,43,3,1,,,,,,,2014-Jan-25 00:00:00 +0000,,,,,,,,,,,,,8,9,7,8,5,4,9
790,2,9,43,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,7,9,4,5,6,9,7
791,2,20,43,3,1,,,,,,,2014-Aug-14 00:00:00 +0000,,,,,,,,,,,,,4,5,6,7,5,5,7
792,2,19,43,3,1,,,,,,,2014-Aug-26 00:00:00 +0000,,,,,,,,,,,,,7,7,7,4,5,7,5
793,2,4,43,3,1,,,,,,,2014-Mar-28 00:00:00 +0000,,,,,,,,,,,,,9,5,7,4,7,4,9
794,2,10,43,3,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,6,4,8,4,8,9,6
795,2,12,43,3,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,4,6,5,8,7,4,4
796,2,8,43,3,1,,,,,,,2014-Mar-30 00:00:00 +0000,,,,,,,,,,,,,5,7,4,5,5,7,6
797,2,2,43,3,1,,,,,,,2014-Jun-30 00:00:00 +0000,,,,,,,,,,,,,5,5,8,4,8,5,9
798,2,7,43,3,1,,,,,,,2014-Jan-17 00:00:00 +0000,,,,,,,,,,,,,4,4,6,4,6,7,5
799,2,20,43,3,1,,,,,,,2014-Apr-17 00:00:00 +0000,,,,,,,,,,,,,6,8,4,4,5,6,4
800,2,5,43,3,1,,,,,,,2014-May-25 00:00:00 +0000,,,,,,,,,,,,,5,5,4,7,5,4,7
801,2,9,43,3,1,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,6,5,9,5,8,7,7
802,2,16,44,3,2,,,,,,,2014-May-04 00:00:00 +0000,,,,,,,,,,,,,6,4,6,4,8,7,6
803,2,12,44,3,2,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,8,4,8,6,5,4,6
804,2,7,44,3,2,,,,,,,2014-May-30 00:00:00 +0000,,,,,,,,,,,,,8,5,4,6,5,4,9
805,2,19,44,3,2,,,,,,,2014-Mar-13 00:00:00 +0000,,,,,,,,,,,,,6,4,5,4,7,5,5
806,2,10,44,3,2,,,,,,,2014-Apr-03 00:00:00 +0000,,,,,,,,,,,,,7,5,7,7,4,7,8
807,2,19,44,3,2,,,,,,,2014-Jun-06 00:00:00 +0000,,,,,,,,,,,,,6,4,6,4,4,7,8
808,2,4,44,3,2,,,,,,,2014-Jan-20 00:00:00 +0000,,,,,,,,,,,,,5,9,5,5,7,5,9
809,2,16,44,3,2,,,,,,,2014-Jul-17 00:00:00 +0000,,,,,,,,,,,,,4,4,8,5,7,5,8
810,2,2,44,3,2,,,,,,,2014-Feb-19 00:00:00 +0000,,,,,,,,,,,,,8,4,9,8,6,5,5
811,2,12,44,3,2,,,,,,,2014-Jan-05 00:00:00 +0000,,,,,,,,,,,,,9,5,5,6,8,8,5
812,2,12,44,3,2,,,,,,,2014-Aug-28 00:00:00 +0000,,,,,,,,,,,,,7,6,9,8,4,8,6
813,2,16,44,3,2,,,,,,,2014-May-24 00:00:00 +0000,,,,,,,,,,,,,6,4,4,7,9,7,4
814,2,2,44,3,2,,,,,,,2014-May-24 00:00:00 +0000,,,,,,,,,,,,,8,5,6,8,6,4,8
815,2,17,44,3,2,,,,,,,2014-Jan-28 00:00:00 +0000,,,,,,,,,,,,,8,9,5,5,8,8,6
816,2,20,44,3,2,,,,,,,2014-Jun-02 00:00:00 +0000,,,,,,,,,,,,,7,5,9,9,8,5,8
817,2,6,44,3,2,,,,,,,2014-Jan-06 00:00:00 +0000,,,,,,,,,,,,,5,9,4,8,9,6,6
818,2,19,44,3,2,,,,,,,2014-May-18 00:00:00 +0000,,,,,,,,,,,,,7,8,7,7,5,4,4
819,2,6,44,3,2,,,,,,,2014-Aug-12 00:00:00 +0000,,,,,,,,,,,,,7,6,5,8,9,5,6
820,2,20,44,3,2,,,,,,,2014-Jun-24 00:00:00 +0000,,,,,,,,,,,,,7,7,4,5,9,4,5
821,2,7,44,3,2,,,,,,,2014-Mar-17 00:00:00 +0000,,,,,,,,,,,,,6,6,8,8,5,4,4
822,2,10,45,3,2,,,,,,,2014-Jul-02 00:00:00 +0000,,,,,,,,,,,,,8,6,8,4,6,7,6
823,2,11,45,3,2,,,,,,,2014-Apr-04 00:00:00 +0000,,,,,,,,,,,,,6,6,5,4,8,6,4
824,2,13,45,3,2,,,,,,,2014-Apr-07 00:00:00 +0000,,,,,,,,,,,,,8,4,9,7,9,9,8
825,2,10,45,3,2,,,,,,,2014-Mar-28 00:00:00 +0000,,,,,,,,,,,,,6,4,8,8,8,4,6
826,2,6,45,3,2,,,,,,,2014-Apr-19 00:00:00 +0000,,,,,,,,,,,,,8,9,4,4,7,9,8
827,2,8,45,3,2,,,,,,,2014-Mar-27 00:00:00 +0000,,,,,,,,,,,,,9,5,4,4,4,7,6
828,2,20,45,3,2,,,,,,,2014-Aug-10 00:00:00 +0000,,,,,,,,,,,,,5,7,5,8,4,6,4
829,2,5,45,3,2,,,,,,,2014-Jul-23 00:00:00 +0000,,,,,,,,,,,,,6,8,7,9,5,4,4
830,2,19,45,3,2,,,,,,,2014-Mar-24 00:00:00 +0000,,,,,,,,,,,,,4,4,4,4,4,8,8
831,2,13,45,3,2,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,8,5,9,7,8,7,4
832,2,5,45,3,2,,,,,,,2014-Jul-29 00:00:00 +0000,,,,,,,,,,,,,6,6,6,7,6,9,6
833,2,13,45,3,2,,,,,,,2014-May-04 00:00:00 +0000,,,,,,,,,,,,,5,9,4,5,5,7,8
834,2,13,45,3,2,,,,,,,2014-Mar-21 00:00:00 +0000,,,,,,,,,,,,,4,6,4,6,5,4,4
835,2,12,45,3,2,,,,,,,2014-Jul-02 00:00:00 +0000,,,,,,,,,,,,,5,9,9,4,6,7,9
836,2,3,45,3,2,,,,,,,2014-Jun-25 00:00:00 +0000,,,,,,,,,,,,,7,6,6,8,7,8,5
837,2,12,45,3,2,,,,,,,2014-Aug-25 00:00:00 +0000,,,,,,,,,,,,,7,8,4,7,8,4,4
838,2,19,45,3,2,,,,,,,2014-Apr-13 00:00:00 +0000,,,,,,,,,,,,,5,9,7,4,4,4,4
839,2,4,45,3,2,,,,,,,2014-Jul-07 00:00:00 +0000,,,,,,,,,,,,,9,5,8,8,4,7,5
840,2,20,45,3,2,,,,,,,2014-Apr-30 00:00:00 +0000,,,,,,,,,,,,,8,4,9,9,4,5,6
841,2,9,45,3,2,,,,,,,2014-Apr-06 00:00:00 +0000,,,,,,,,,,,,,9,6,5,9,5,5,4
842,2,15,46,3,2,,,,,,,2014-Jun-13 00:00:00 +0000,,,,,,,,,,,,,5,6,4,4,7,5,9
843,2,10,46,3,2,,,,,,,2014-May-31 00:00:00 +0000,,,,,,,,,,,,,5,7,4,6,4,8,7
844,2,7,46,3,2,,,,,,,2014-Aug-01 00:00:00 +0000,,,,,,,,,,,,,7,7,7,5,9,4,5
845,2,15,46,3,2,,,,,,,2014-Aug-08 00:00:00 +0000,,,,,,,,,,,,,8,6,4,5,6,7,9
846,2,4,46,3,2,,,,,,,2014-May-26 00:00:00 +0000,,,,,,,,,,,,,8,6,7,7,4,9,4
847,2,4,46,3,2,,,,,,,2014-Aug-12 00:00:00 +0000,,,,,,,,,,,,,5,8,4,5,7,9,8
848,2,19,46,3,2,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,7,7,4,6,6,8,8
849,2,8,46,3,2,,,,,,,2014-May-23 00:00:00 +0000,,,,,,,,,,,,,6,9,8,4,6,8,6
850,2,7,46,3,2,,,,,,,2014-May-17 00:00:00 +0000,,,,,,,,,,,,,4,4,5,5,7,4,6
851,2,6,46,3,2,,,,,,,2014-Jul-26 00:00:00 +0000,,,,,,,,,,,,,5,6,7,6,4,6,7
852,2,7,46,3,2,,,,,,,2014-Jul-14 00:00:00 +0000,,,,,,,,,,,,,5,6,6,8,9,9,5
853,2,13,46,3,2,,,,,,,2014-Mar-06 00:00:00 +0000,,,,,,,,,,,,,6,7,9,6,6,6,7
854,2,12,46,3,2,,,,,,,2014-May-02 00:00:00 +0000,,,,,,,,,,,,,9,7,6,5,9,6,8
855,2,5,46,3,2,,,,,,,2014-Jul-30 00:00:00 +0000,,,,,,,,,,,,,8,5,6,8,9,4,4
856,2,2,46,3,2,,,,,,,2014-Jun-19 00:00:00 +0000,,,,,,,,,,,,,6,8,7,7,9,5,5
857,2,15,46,3,2,,,,,,,2014-Jun-01 00:00:00 +0000,,,,,,,,,,,,,9,6,4,8,5,4,8
858,2,6,46,3,2,,,,,,,2014-Jan-03 00:00:00 +0000,,,,,,,,,,,,,7,5,7,9,5,5,5
859,2,11,46,3,2,,,,,,,2014-Feb-10 00:00:00 +0000,,,,,,,,,,,,,5,9,6,6,4,4,6
860,2,13,46,3,2,,,,,,,2014-Jul-09 00:00:00 +0000,,,,,,,,,,,,,5,4,6,4,6,8,7
861,2,9,46,3,2,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,8,7,5,5,8,5,5
862,2,15,47,3,2,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,4,4,9,4,8,6,7
863,2,10,47,3,2,,,,,,,2014-Jul-23 00:00:00 +0000,,,,,,,,,,,,,5,4,6,8,5,8,8
864,2,20,47,3,2,,,,,,,2014-Feb-11 00:00:00 +0000,,,,,,,,,,,,,8,7,8,4,6,5,7
865,2,12,47,3,2,,,,,,,2014-Aug-22 00:00:00 +0000,,,,,,,,,,,,,5,4,6,9,7,6,7
866,2,6,47,3,2,,,,,,,2014-Jan-31 00:00:00 +0000,,,,,,,,,,,,,6,4,6,9,7,5,6
867,2,17,47,3,2,,,,,,,2014-Jan-08 00:00:00 +0000,,,,,,,,,,,,,4,7,7,4,6,7,6
868,2,2,47,3,2,,,,,,,2014-Mar-12 00:00:00 +0000,,,,,,,,,,,,,7,4,6,9,9,4,4
869,2,14,47,3,2,,,,,,,2014-Jun-15 00:00:00 +0000,,,,,,,,,,,,,7,6,9,7,8,8,9
870,2,11,47,3,2,,,,,,,2014-Aug-28 00:00:00 +0000,,,,,,,,,,,,,8,4,7,4,7,7,4
871,2,5,47,3,2,,,,,,,2014-Apr-08 00:00:00 +0000,,,,,,,,,,,,,6,7,4,5,4,7,7
872,2,11,47,3,2,,,,,,,2014-Jun-29 00:00:00 +0000,,,,,,,,,,,,,5,6,4,4,6,9,4
873,2,17,47,3,2,,,,,,,2014-Apr-17 00:00:00 +0000,,,,,,,,,,,,,5,9,7,9,9,4,8
874,2,16,47,3,2,,,,,,,2014-Jun-23 00:00:00 +0000,,,,,,,,,,,,,5,7,5,9,5,4,4
875,2,7,47,3,2,,,,,,,2014-May-23 00:00:00 +0000,,,,,,,,,,,,,4,9,9,7,7,4,7
